maxWorkers,chunkSize,StartIndex,Status,Error,EndClock,Latency
1,5,54,success,None,21/Jul/2026:17:12:10.078548,0.28915095899719745
1,5,107,success,None,21/Jul/2026:17:12:10.770975,0.6920892499911133
1,5,117,success,None,21/Jul/2026:17:12:11.424660,0.6533969579904806
1,5,127,success,None,21/Jul/2026:17:12:12.030588,0.6056371659797151
1,5,140,success,None,21/Jul/2026:17:12:12.288877,0.258018374996027
1,5,156,success,None,21/Jul/2026:17:12:12.879417,0.5902634160011075
1,5,200,success,None,21/Jul/2026:17:12:13.157832,0.2781395410129335
1,5,228,success,None,21/Jul/2026:17:12:13.420369,0.2622726249974221
1,5,234,success,None,21/Jul/2026:17:12:14.266377,0.8457508749852423
1,5,251,success,None,21/Jul/2026:17:12:14.700700,0.4340330830018502
1,5,327,success,None,21/Jul/2026:17:12:14.938089,0.2370445419801399
1,5,364,success,None,21/Jul/2026:17:12:15.557315,0.6189474159909878
1,5,373,success,None,21/Jul/2026:17:12:15.788644,0.23105370899429545
1,5,379,success,None,21/Jul/2026:17:12:16.406220,0.6173158750170842
1,5,400,success,None,21/Jul/2026:17:12:16.640799,0.23431833300855942
2,5,54,success,None,21/Jul/2026:17:12:17.236833,0.5949164589983411
2,5,107,success,None,21/Jul/2026:17:12:17.301350,0.6592634160188027
2,5,117,success,None,21/Jul/2026:17:12:17.920201,0.6830797079892363
2,5,127,success,None,21/Jul/2026:17:12:17.996184,0.6944239580188878
2,5,140,success,None,21/Jul/2026:17:12:18.382880,0.46240733400918543
2,5,200,success,None,21/Jul/2026:17:12:18.603766,0.22061720900819637
2,5,156,success,None,21/Jul/2026:17:12:18.671924,0.6754189580096863
2,5,228,success,None,21/Jul/2026:17:12:19.061011,0.4569684579910245
2,5,234,success,None,21/Jul/2026:17:12:19.437463,0.7652054170030169
2,5,251,success,None,21/Jul/2026:17:12:19.659748,0.5984449579846114
2,5,327,success,None,21/Jul/2026:17:12:19.696371,0.25862608299939893
2,5,373,success,None,21/Jul/2026:17:12:20.525421,0.8287249999993946
2,5,364,success,None,21/Jul/2026:17:12:20.557428,0.8973944999743253
2,5,379,success,None,21/Jul/2026:17:12:21.272175,0.7464376249990892
2,5,400,success,None,21/Jul/2026:17:12:21.282583,0.7248755830223672
3,5,54,success,None,21/Jul/2026:17:12:21.761526,0.4766030410246458
3,5,107,success,None,21/Jul/2026:17:12:21.971347,0.6862206250079907
3,5,127,success,None,21/Jul/2026:17:12:22.028471,0.266646000003675
3,5,117,success,None,21/Jul/2026:17:12:22.395739,1.110282332985662
3,5,140,success,None,21/Jul/2026:17:12:22.655396,0.6837218750151806
3,5,156,success,None,21/Jul/2026:17:12:22.704207,0.6753879159805365
3,5,200,success,None,21/Jul/2026:17:12:23.003360,0.6072608329996001
3,5,228,success,None,21/Jul/2026:17:12:23.040370,0.38465279099182226
3,5,234,success,None,21/Jul/2026:17:12:23.296382,0.5918408750148956
3,5,251,success,None,21/Jul/2026:17:12:23.673824,0.6701301670109387
3,5,327,success,None,21/Jul/2026:17:12:23.801838,0.7611170829914045
3,5,364,success,None,21/Jul/2026:17:12:23.896574,0.5998722499934956
3,5,373,success,None,21/Jul/2026:17:12:24.027225,0.35307120901416056
3,5,379,success,None,21/Jul/2026:17:12:24.511745,0.7095745829865336
3,5,400,success,None,21/Jul/2026:17:12:24.551797,0.6549053339986131
4,5,54,success,None,21/Jul/2026:17:12:25.376552,0.8237996669777203
4,5,127,success,None,21/Jul/2026:17:12:25.458947,0.9054852080007549
4,5,117,success,None,21/Jul/2026:17:12:25.563024,1.0099178749951534
4,5,140,success,None,21/Jul/2026:17:12:25.797571,0.4207049160031602
4,5,107,success,None,21/Jul/2026:17:12:25.839588,1.286653417017078
4,5,200,success,None,21/Jul/2026:17:12:26.209931,0.646564374997979
4,5,156,success,None,21/Jul/2026:17:12:26.392130,0.9328492500062566
4,5,228,success,None,21/Jul/2026:17:12:26.539908,0.7420023340091575
4,5,251,success,None,21/Jul/2026:17:12:26.572236,0.3619950419815723
4,5,234,success,None,21/Jul/2026:17:12:26.573875,0.7339637080149259
4,5,327,success,None,21/Jul/2026:17:12:27.051548,0.6590437080012634
4,5,379,success,None,21/Jul/2026:17:12:27.250584,0.6763480419758707
4,5,373,success,None,21/Jul/2026:17:12:27.254773,0.6821139579988085
4,5,364,success,None,21/Jul/2026:17:12:27.315891,0.775128749985015
4,5,400,success,None,21/Jul/2026:17:12:27.339905,0.28804529199260287
5,5,107,success,None,21/Jul/2026:17:12:28.194299,0.8455271249986254
5,5,140,success,None,21/Jul/2026:17:12:28.296747,0.947396250005113
5,5,54,success,None,21/Jul/2026:17:12:28.362821,1.0142070419969968
5,5,127,success,None,21/Jul/2026:17:12:28.378383,1.0292477080074605
5,5,117,success,None,21/Jul/2026:17:12:28.381758,1.0328387500194367
5,5,156,success,None,21/Jul/2026:17:12:28.871283,0.6766536670038477
5,5,200,success,None,21/Jul/2026:17:12:28.973813,0.6766795829753391
5,5,228,success,None,21/Jul/2026:17:12:29.085102,0.7218637499900069
5,5,234,success,None,21/Jul/2026:17:12:29.236079,0.8573594579938799
5,5,251,success,None,21/Jul/2026:17:12:29.268374,0.8862900410022121
5,5,327,success,None,21/Jul/2026:17:12:29.513961,0.6423835839959793
5,5,364,success,None,21/Jul/2026:17:12:29.566494,0.5923383329936769
5,5,373,failed,"429, message='Too Many Requests', url='https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/AerChemMIP/MOHC/UKESM1-0-LL/ssp370SST-lowNTCF/r1i1p1f2/Amon/cl/gn/latest/cl_Amon_UKESM1-0-LL_ssp370SST-lowNTCF_r1i1p1f2_gn_205001-209912.nc'",21/Jul/2026:17:12:29.899251,0.8137895000108983
5,5,400,success,None,21/Jul/2026:17:12:29.900663,0.6318870419927407
5,5,379,success,None,21/Jul/2026:17:12:29.918859,0.6824229579942767
6,5,54,success,None,21/Jul/2026:17:12:30.834839,0.9074727080005687
6,5,107,success,None,21/Jul/2026:17:12:30.847530,0.9200046250189189
6,5,127,success,None,21/Jul/2026:17:12:30.882084,0.9542919579835143
6,5,117,success,None,21/Jul/2026:17:12:30.968660,1.0409869579889346
6,5,156,success,None,21/Jul/2026:17:12:31.121947,1.1936852090002503
6,5,140,success,None,21/Jul/2026:17:12:31.375974,1.4479477079876233
6,5,200,success,None,21/Jul/2026:17:12:31.639571,0.8044020409870427
6,5,234,success,None,21/Jul/2026:17:12:31.797201,0.9148161249759141
6,5,228,success,None,21/Jul/2026:17:12:31.822796,0.974867541983258
6,5,251,success,None,21/Jul/2026:17:12:31.875586,0.906576417008182
6,5,327,success,None,21/Jul/2026:17:12:31.884790,0.7624617500114255
6,5,373,success,None,21/Jul/2026:17:12:32.060711,0.42081325000617653
6,5,364,success,None,21/Jul/2026:17:12:32.224063,0.8477375830116216
6,5,400,success,None,21/Jul/2026:17:12:32.290466,0.46730608301004395
6,5,379,success,None,21/Jul/2026:17:12:32.447080,0.6495465420011897
7,5,54,success,None,21/Jul/2026:17:12:33.513668,1.0652509169885889
7,5,117,success,None,21/Jul/2026:17:12:33.534269,1.0855466659995727
7,5,107,success,None,21/Jul/2026:17:12:33.544205,1.0956288329907693
7,5,127,success,None,21/Jul/2026:17:12:33.580163,1.1313201659941114
7,5,140,success,None,21/Jul/2026:17:12:33.739213,1.2901446250034496
7,5,156,success,None,21/Jul/2026:17:12:34.056779,1.607486583001446
7,5,200,success,None,21/Jul/2026:17:12:34.079921,1.6305250829900615
7,5,251,success,None,21/Jul/2026:17:12:34.487046,0.942464583000401
7,5,228,success,None,21/Jul/2026:17:12:34.518855,1.0048500839911867
7,5,327,success,None,21/Jul/2026:17:12:34.524397,0.9439125840144698
7,5,234,success,None,21/Jul/2026:17:12:34.563099,1.0284642500046175
7,5,379,success,None,21/Jul/2026:17:12:34.654585,0.5743477920186706
7,5,364,success,None,21/Jul/2026:17:12:34.657481,0.91791858401848
7,5,373,success,None,21/Jul/2026:17:12:34.661075,0.6039481250045355
7,5,400,success,None,21/Jul/2026:17:12:34.761034,0.2735912080097478
8,5,127,success,None,21/Jul/2026:17:12:35.807671,1.0448752079973929
8,5,54,success,None,21/Jul/2026:17:12:35.832271,1.0698922919982579
8,5,107,success,None,21/Jul/2026:17:12:35.865709,1.1031714999990072
8,5,117,success,None,21/Jul/2026:17:12:35.874011,1.111332542001037
8,5,156,success,None,21/Jul/2026:17:12:35.920622,1.1574015829828568
8,5,140,success,None,21/Jul/2026:17:12:36.029343,1.2663372500101104
8,5,228,success,None,21/Jul/2026:17:12:36.459093,1.6954427500022575
8,5,200,success,None,21/Jul/2026:17:12:36.718192,1.9548578329849988
8,5,251,success,None,21/Jul/2026:17:12:36.822968,0.9903434999869205
8,5,364,success,None,21/Jul/2026:17:12:36.919859,1.0453173749847338
8,5,327,success,None,21/Jul/2026:17:12:36.925752,1.0596793750009965
8,5,373,success,None,21/Jul/2026:17:12:36.948041,1.0270728749746922
8,5,234,success,None,21/Jul/2026:17:12:36.952563,1.1445273749995977
8,5,400,success,None,21/Jul/2026:17:12:36.985817,0.526368166989414
8,5,379,success,None,21/Jul/2026:17:12:36.998295,0.9686125830048695
9,5,107,success,None,21/Jul/2026:17:12:38.101648,1.0945766250079032
9,5,54,success,None,21/Jul/2026:17:12:38.163661,1.1567642079899088
9,5,117,success,None,21/Jul/2026:17:12:38.185837,1.17862854199484
9,5,127,success,None,21/Jul/2026:17:12:38.190134,1.1826596250175498
9,5,140,success,None,21/Jul/2026:17:12:38.238931,1.2313382909924258
9,5,156,success,None,21/Jul/2026:17:12:38.441756,1.4339282090077177
9,5,200,success,None,21/Jul/2026:17:12:38.559093,1.5511561250023078
9,5,234,success,None,21/Jul/2026:17:12:38.861515,1.8532539590087254
9,5,228,success,None,21/Jul/2026:17:12:38.902104,1.8940652500023134
9,5,327,success,None,21/Jul/2026:17:12:39.119943,0.9559201670053881
9,5,251,success,None,21/Jul/2026:17:12:39.142416,1.04039875001763
9,5,364,success,None,21/Jul/2026:17:12:39.142833,0.9566434170119464
9,5,379,success,None,21/Jul/2026:17:12:39.188390,0.9490929169987794
9,5,373,success,None,21/Jul/2026:17:12:39.377161,1.1866951250121929
9,5,400,success,None,21/Jul/2026:17:12:39.397616,0.9554880000068806
10,5,117,success,None,21/Jul/2026:17:12:40.522360,1.1177212909969967
10,5,107,success,None,21/Jul/2026:17:12:40.553369,1.1488485840091016
10,5,127,success,None,21/Jul/2026:17:12:40.576466,1.1717261250014417
10,5,54,success,None,21/Jul/2026:17:12:40.593776,1.1894163330143783
10,5,140,success,None,21/Jul/2026:17:12:40.635198,1.230143291002605
10,5,156,success,None,21/Jul/2026:17:12:40.842037,1.4367524999834131
10,5,200,success,None,21/Jul/2026:17:12:41.095103,1.6896728750143666
10,5,228,success,None,21/Jul/2026:17:12:41.216964,1.8114313749829307
10,5,234,success,None,21/Jul/2026:17:12:41.335966,1.9303321249899454
10,5,251,success,None,21/Jul/2026:17:12:41.455619,2.0498139160044957
10,5,327,success,None,21/Jul/2026:17:12:41.543026,1.020281334000174
10,5,379,success,None,21/Jul/2026:17:12:41.631245,1.0371051660040393
10,5,364,success,None,21/Jul/2026:17:12:41.648684,1.0949527500197291
10,5,373,success,None,21/Jul/2026:17:12:41.672014,1.0951913750031963
10,5,400,success,None,21/Jul/2026:17:12:41.825714,1.190163624996785
11,5,107,success,None,21/Jul/2026:17:12:42.889127,1.0614911669981666
11,5,54,success,None,21/Jul/2026:17:12:42.902833,1.0753548330103513
11,5,117,success,None,21/Jul/2026:17:12:42.903559,1.075780749990372
11,5,140,success,None,21/Jul/2026:17:12:43.091840,1.263848999980837
11,5,127,success,None,21/Jul/2026:17:12:43.108688,1.2807904169894755
11,5,156,success,None,21/Jul/2026:17:12:43.306795,1.4785980420128908
11,5,228,success,None,21/Jul/2026:17:12:43.586447,1.7579243749787565
11,5,200,success,None,21/Jul/2026:17:12:43.793063,1.9646461659867782
11,5,234,success,None,21/Jul/2026:17:12:43.808910,1.9801841670123395
11,5,251,success,None,21/Jul/2026:17:12:43.833175,2.0042757499904837
11,5,327,success,None,21/Jul/2026:17:12:43.960820,2.131746083992766
11,5,373,success,None,21/Jul/2026:17:12:44.046075,1.142867207992822
11,5,364,success,None,21/Jul/2026:17:12:44.049843,1.1603687919850927
11,5,400,success,None,21/Jul/2026:17:12:44.059659,0.9674544589943253
11,5,379,success,None,21/Jul/2026:17:12:44.061974,1.1581066669896245
12,5,107,success,None,21/Jul/2026:17:12:45.060387,0.9861485830042511
12,5,117,success,None,21/Jul/2026:17:12:45.178760,1.1043939169903751
12,5,54,success,None,21/Jul/2026:17:12:45.272176,1.198129832977429
12,5,127,success,None,21/Jul/2026:17:12:45.334838,1.2601830839994363
12,5,140,success,None,21/Jul/2026:17:12:45.422323,1.3475648750027176
12,5,156,success,None,21/Jul/2026:17:12:45.663668,1.5886762080190238
12,5,200,success,None,21/Jul/2026:17:12:45.813625,1.7383455829985905
12,5,234,success,None,21/Jul/2026:17:12:46.064233,1.9886411250045057
12,5,228,success,None,21/Jul/2026:17:12:46.081409,2.005920084018726
12,5,251,success,None,21/Jul/2026:17:12:46.149830,2.074124707985902
12,5,327,success,None,21/Jul/2026:17:12:46.229745,2.153848540998297
12,5,364,success,None,21/Jul/2026:17:12:46.244013,2.1679417909763288
12,5,373,success,None,21/Jul/2026:17:12:46.281038,1.2203115000156686
12,5,400,success,None,21/Jul/2026:17:12:46.287551,1.0150244999967981
12,5,379,success,None,21/Jul/2026:17:12:46.296964,1.1178674999973737
13,5,117,success,None,21/Jul/2026:17:12:47.389222,1.086704916000599
13,5,107,success,None,21/Jul/2026:17:12:47.428255,1.1258889590098988
13,5,54,success,None,21/Jul/2026:17:12:47.521877,1.219668832985917
13,5,140,success,None,21/Jul/2026:17:12:47.728628,1.4258872909995262
13,5,156,success,None,21/Jul/2026:17:12:47.759221,1.4562569580157287
13,5,127,success,None,21/Jul/2026:17:12:47.763536,1.460893292009132
13,5,200,success,None,21/Jul/2026:17:12:47.900249,1.5970111660135444
13,5,234,success,None,21/Jul/2026:17:12:48.284289,1.9806873750058003
13,5,228,success,None,21/Jul/2026:17:12:48.305112,2.00173150000046
13,5,251,success,None,21/Jul/2026:17:12:48.353219,2.04943433299195
13,5,327,success,None,21/Jul/2026:17:12:48.372054,2.067977917002281
13,5,400,success,None,21/Jul/2026:17:12:48.482761,1.0541778330225497
13,5,364,success,None,21/Jul/2026:17:12:48.510662,2.2064837910002097
13,5,373,success,None,21/Jul/2026:17:12:48.540285,2.2359202910156455
13,5,379,success,None,21/Jul/2026:17:12:48.562482,1.1728655839979183
14,5,127,success,None,21/Jul/2026:17:12:49.596622,1.0260248749982566
14,5,107,success,None,21/Jul/2026:17:12:49.714779,1.1446369159966707
14,5,117,success,None,21/Jul/2026:17:12:49.786921,1.2166356669913512
14,5,140,success,None,21/Jul/2026:17:12:49.864701,1.2938781249977183
14,5,54,success,None,21/Jul/2026:17:12:50.049993,1.480006500001764
14,5,156,success,None,21/Jul/2026:17:12:50.143558,1.5726148750109132
14,5,200,success,None,21/Jul/2026:17:12:50.189769,1.6185910410131328
14,5,228,success,None,21/Jul/2026:17:12:50.547174,1.9758683340041898
14,5,234,success,None,21/Jul/2026:17:12:50.556448,1.9849940830026753
14,5,251,success,None,21/Jul/2026:17:12:50.630696,2.0589834169950336
14,5,327,success,None,21/Jul/2026:17:12:50.690863,2.1190246250189375
14,5,364,success,None,21/Jul/2026:17:12:50.709216,2.1370916250161827
14,5,373,success,None,21/Jul/2026:17:12:50.818901,2.2466521250025835
14,5,400,success,None,21/Jul/2026:17:12:50.881581,1.284618166013388
14,5,379,success,None,21/Jul/2026:17:12:51.019874,2.447412500012433
15,5,117,success,None,21/Jul/2026:17:12:52.121514,1.0998919580015354
15,5,127,success,None,21/Jul/2026:17:12:52.137859,1.1160699170141015
15,5,54,success,None,21/Jul/2026:17:12:52.186954,1.1656270000094082
15,5,107,success,None,21/Jul/2026:17:12:52.213327,1.1918342499993742
15,5,140,success,None,21/Jul/2026:17:12:52.478336,1.456175458006328
15,5,156,success,None,21/Jul/2026:17:12:52.674125,1.651853666990064
15,5,200,success,None,21/Jul/2026:17:12:52.776801,1.7543132089776918
15,5,228,success,None,21/Jul/2026:17:12:52.816704,1.7940340420173015
15,5,234,success,None,21/Jul/2026:17:12:53.018467,1.995596332999412
15,5,251,success,None,21/Jul/2026:17:12:53.045633,2.022654375003185
15,5,327,success,None,21/Jul/2026:17:12:53.133616,2.110472166998079
15,5,364,success,None,21/Jul/2026:17:12:53.172588,2.1492687090067193
15,5,373,success,None,21/Jul/2026:17:12:53.209384,2.185889791988302
15,5,379,success,None,21/Jul/2026:17:12:53.226610,2.202951832994586
15,5,400,success,None,21/Jul/2026:17:12:53.235225,2.2113953339867294
