maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies
1,5,17,success,None,22/Jul/2026:15:07:32.322135,22/Jul/2026:15:07:33.013136,0.6910,0,None,None,None
1,5,49,success,None,22/Jul/2026:15:07:33.013430,22/Jul/2026:15:07:33.759161,0.7457,1,22/Jul/2026:15:07:33.014127,0.0561,bytes=202289493-202391545
1,5,79,success,None,22/Jul/2026:15:07:33.759460,22/Jul/2026:15:07:34.328139,0.5687,2,22/Jul/2026:15:07:32.324155;22/Jul/2026:15:07:33.014188,1.4452;0.7561,bytes=76333743-76424815;bytes=202391546-202490488
1,5,97,success,None,22/Jul/2026:15:07:34.328433,22/Jul/2026:15:07:34.930367,0.6019,3,22/Jul/2026:15:07:33.014068;22/Jul/2026:15:07:33.760151;22/Jul/2026:15:07:34.329863,1.3231;0.5940;0.0416,bytes=201239513-202135188;bytes=324468075-324655798;bytes=401707576-401802346
1,5,135,success,None,22/Jul/2026:15:07:34.930653,22/Jul/2026:15:07:35.614824,0.6842,2,22/Jul/2026:15:07:33.761057;22/Jul/2026:15:07:34.329802,1.1845;0.6301,bytes=328995604-329887365;bytes=401614370-401707575
1,5,160,success,None,22/Jul/2026:15:07:35.615093,22/Jul/2026:15:07:36.243538,0.6284,4,22/Jul/2026:15:07:33.760089;22/Jul/2026:15:07:34.931948;22/Jul/2026:15:07:34.931700;22/Jul/2026:15:07:34.931651,1.8654;0.7251;0.7320;0.7327,bytes=323341434-324254586;bytes=560916005-561010763;bytes=554824724-555750334;bytes=553927311-554824723
1,5,184,success,None,22/Jul/2026:15:07:36.243834,22/Jul/2026:15:07:37.119681,0.8758,2,22/Jul/2026:15:07:35.616227;22/Jul/2026:15:07:34.932106,0.6614;1.3795,bytes=658069611-658970859;bytes=558993545-559923493
1,5,200,success,None,22/Jul/2026:15:07:37.119970,22/Jul/2026:15:07:38.015484,0.8955,4,22/Jul/2026:15:07:36.245011;22/Jul/2026:15:07:36.244909;22/Jul/2026:15:07:35.615748;22/Jul/2026:15:07:36.244850,0.8838;0.8900;1.5266;0.9066,bytes=756191589-757091712;bytes=754377062-755262882;bytes=655003103-655192748;bytes=753484099-754377061
1,5,225,success,None,22/Jul/2026:15:07:38.015760,22/Jul/2026:15:07:38.890202,0.8744,7,22/Jul/2026:15:07:36.244515;22/Jul/2026:15:07:37.121268;22/Jul/2026:15:07:38.016971;22/Jul/2026:15:07:37.121111;22/Jul/2026:15:07:38.016677;22/Jul/2026:15:07:38.016593;22/Jul/2026:15:07:36.245063,1.7790;0.9037;0.0250;0.9213;0.0423;0.0494;1.8261,bytes=753089956-753281708;bytes=823217354-823353709;bytes=926048878-926145715;bytes=821056100-821978782;bytes=925939786-926048877;bytes=925836357-925939785;bytes=757276058-757490361
1,5,234,success,None,22/Jul/2026:15:07:38.890482,22/Jul/2026:15:07:39.737078,0.8466,2,22/Jul/2026:15:07:38.891385;22/Jul/2026:15:07:38.891751,0.0282;0.0305,bytes=962584545-962689839;bytes=966664809-966780862
