maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies,HTTPS Byte RangesHTTPSRequestIDs
1,5,122,success,None,22/Jul/2026:16:42:55.395082,22/Jul/2026:16:42:55.686116,0.2910,0,None,None,None,None
1,5,133,success,None,22/Jul/2026:16:42:55.686437,22/Jul/2026:16:42:56.340857,0.6544,4,22/Jul/2026:16:42:55.398339;22/Jul/2026:16:42:55.399791;22/Jul/2026:16:42:55.688471;22/Jul/2026:16:42:55.398242,0.2966;0.2982;0.0214;0.3227,bytes=505063059-505962232;bytes=516116082-516212958;bytes=552830569-552928218;bytes=504159948-505063058,6d7824f1;6110d423;c8664d8b;fc18cd44
1,5,141,success,None,22/Jul/2026:16:42:56.341180,22/Jul/2026:16:42:57.127714,0.7865,4,22/Jul/2026:16:42:56.341753;22/Jul/2026:16:42:56.342841;22/Jul/2026:16:42:55.689037;22/Jul/2026:16:42:55.399331,0.0075;0.0216;0.6953;1.0002,bytes=575791287-576711568;bytes=585867301-585970366;bytes=555750335-556651999;bytes=509197469-510093612,cf44981e;e9e61eae;a59f3b33;c1e34e3f
1,5,191,success,None,22/Jul/2026:16:42:57.128031,22/Jul/2026:16:42:57.744915,0.6169,3,22/Jul/2026:16:42:56.343476;22/Jul/2026:16:42:57.130251;22/Jul/2026:16:42:57.129981,0.7944;0.0223;0.0337,bytes=593727707-593827298;bytes=794095039-794177964;bytes=790163598-790276520,1e37fbf2;54306010;3365e859
1,5,197,success,None,22/Jul/2026:16:42:57.745234,22/Jul/2026:16:42:58.534732,0.7895,2,22/Jul/2026:16:42:56.342106;22/Jul/2026:16:42:57.129802,1.4108;0.6241,bytes=581814454-581920232;bytes=787296381-788182650,6368cb44;02c8cc19
1,5,216,success,None,22/Jul/2026:16:42:58.535039,22/Jul/2026:16:42:59.234062,0.6990,3,22/Jul/2026:16:42:57.747722;22/Jul/2026:16:42:57.130037;22/Jul/2026:16:42:58.536806,0.7928;1.4186;0.0294,bytes=819086861-819275042;bytes=790276521-790387472;bytes=892880460-892986133,b1576995;11df36d3;184d33c8
1,5,231,success,None,22/Jul/2026:16:42:59.234388,22/Jul/2026:16:42:59.528412,0.2940,7,22/Jul/2026:16:42:55.397953;22/Jul/2026:16:42:58.536752;22/Jul/2026:16:42:55.689306;22/Jul/2026:16:42:57.128700;22/Jul/2026:16:42:56.343136;22/Jul/2026:16:42:57.747425;22/Jul/2026:16:42:59.235798,3.8453;0.7070;3.5554;2.1287;2.9257;1.5408;0.0597,bytes=504062201-504159947;bytes=891655633-892558688;bytes=560916005-561010763;bytes=781065423-781964887;bytes=586062658-586953352;bytes=815114827-816003753;bytes=953982742-954081266,5e9040c2;ffc79fbc;739bf125;824a9899;d9cb9c4d;68cc3de8;5b271fe0
1,5,254,success,None,22/Jul/2026:16:42:59.528705,22/Jul/2026:16:43:00.136688,0.6080,8,22/Jul/2026:16:42:58.536295;22/Jul/2026:16:42:59.235125;22/Jul/2026:16:42:59.236861;22/Jul/2026:16:42:59.531620;22/Jul/2026:16:42:59.531555;22/Jul/2026:16:42:58.537353;22/Jul/2026:16:42:59.236138;22/Jul/2026:16:42:58.537296,0.9999;0.3041;0.3100;0.0230;0.0342;1.0325;0.3353;1.0369,bytes=887495717-888397956;bytes=944859053-945756147;bytes=962584545-962689839;bytes=1057349897-1057454774;bytes=1057237479-1057349896;bytes=896891275-896987180;bytes=954172014-954385482;bytes=895784179-896684115,de566b47;48918fcf;18c5e1f0;f82f1203;b8250792;b1da1648;70e8a72a;affe4d67
1,5,268,success,None,22/Jul/2026:16:43:00.137021,22/Jul/2026:16:43:01.045333,0.9083,4,22/Jul/2026:16:42:59.529845;22/Jul/2026:16:42:56.342728;22/Jul/2026:16:42:58.537521;22/Jul/2026:16:42:59.529451,0.6159;3.8297;1.6369;0.6473,bytes=1044835501-1044914701;bytes=583873172-584776567;bytes=900816839-900904258;bytes=1040904774-1041016743,28ab28bd;bedda8c0;640a58dd;a95c6ea1
1,5,299,success,None,22/Jul/2026:16:43:01.045643,22/Jul/2026:16:43:01.447004,0.4014,5,22/Jul/2026:16:42:59.529214;22/Jul/2026:16:42:58.536410;22/Jul/2026:16:43:00.139705;22/Jul/2026:16:42:59.531272;22/Jul/2026:16:42:59.529302,1.5229;2.5181;0.9171;1.5268;1.5346,bytes=1037951794-1038841519;bytes=888852078-888969638;bytes=1111221072-1111422287;bytes=1051135657-1052070016;bytes=1038841520-1039744173,8c1e822c;078a911d;2a5057cb;df17465e;02b672ee
1,5,307,success,None,22/Jul/2026:16:43:01.447310,22/Jul/2026:16:43:02.251069,0.8038,4,22/Jul/2026:16:43:01.047897;22/Jul/2026:16:43:01.046682;22/Jul/2026:16:42:55.398053;22/Jul/2026:16:43:01.046974,0.4056;0.4081;6.0577;0.4104,bytes=1237534166-1238423360;bytes=1226545540-1227440495;bytes=507783748-507862668;bytes=1230555524-1230653469,c5a2c7df;eda2a45b;ad998459;8713cb00
1,5,351,success,None,22/Jul/2026:16:43:02.251363,22/Jul/2026:16:43:02.513454,0.2621,5,22/Jul/2026:16:42:55.687460;22/Jul/2026:16:43:01.448831;22/Jul/2026:16:43:01.448945;22/Jul/2026:16:43:01.449113;22/Jul/2026:16:43:01.448709,6.5717;0.8117;0.8116;0.8121;0.8163,bytes=548739815-548820483;bytes=1267671705-1267784216;bytes=1264059243-1264951590;bytes=1266759446-1267671704;bytes=1263699455-1263864704,3e206420;a3cf4b88;a0fe5381;e8041210;c3af2fa4
1,5,388,success,None,22/Jul/2026:16:43:02.513769,22/Jul/2026:16:43:02.780050,0.2663,0,None,None,None,None
1,5,410,success,None,22/Jul/2026:16:43:02.780387,22/Jul/2026:16:43:03.381605,0.6012,7,22/Jul/2026:16:43:02.253304;22/Jul/2026:16:43:02.252223;22/Jul/2026:16:43:02.253021;22/Jul/2026:16:43:02.781991;22/Jul/2026:16:43:01.448772;22/Jul/2026:16:43:02.781530;22/Jul/2026:16:43:02.781307,0.5341;0.5388;0.5477;0.0290;1.3658;0.0432;0.0467,bytes=1448856723-1449081046;bytes=1444456723-1444533543;bytes=1448764433-1448856722;bytes=1693139227-1693231849;bytes=1263864705-1264059242;bytes=1689195283-1689288063;bytes=1685262769-1685372157,3231b2f6;54f08d42;231c8f40;c8239dcd;cdac6b50;b81c77a6;eacc6c20
1,5,421,success,None,22/Jul/2026:16:43:03.381923,22/Jul/2026:16:43:04.237605,0.8557,1,22/Jul/2026:16:43:01.448468,1.9474,bytes=1259870837-1260745814,7015b07a
2,5,122,success,None,22/Jul/2026:16:43:04.238875,22/Jul/2026:16:43:04.605786,0.3669,5,22/Jul/2026:16:42:58.536585;22/Jul/2026:16:42:55.399608;22/Jul/2026:16:43:04.240334;22/Jul/2026:16:43:04.239858;22/Jul/2026:16:43:04.243132,5.7270;8.8640;0.0259;0.0497;0.0515,bytes=888969639-889863790;bytes=512091805-512280382;bytes=504062201-504159947;bytes=500029961-500138678;bytes=508117604-508298438,f20c0652;d8c611fa;91b0c29f;14f2a1a2;6a65971e
