maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency
1,1,29,success,None,28/Jul/2026:11:03:43.717657,28/Jul/2026:11:03:43.717887,0.0002
1,1,41,success,None,28/Jul/2026:11:03:43.718116,28/Jul/2026:11:03:43.718220,0.0001
1,1,82,success,None,28/Jul/2026:11:03:43.718240,28/Jul/2026:11:03:43.718285,0.0000
1,1,115,success,None,28/Jul/2026:11:03:43.718297,28/Jul/2026:11:03:43.718331,0.0000
1,1,149,success,None,28/Jul/2026:11:03:43.718340,28/Jul/2026:11:03:43.718371,0.0000
1,1,154,success,None,28/Jul/2026:11:03:43.718379,28/Jul/2026:11:03:43.718408,0.0000
1,1,158,success,None,28/Jul/2026:11:03:43.718417,28/Jul/2026:11:03:43.718445,0.0000
1,1,186,success,None,28/Jul/2026:11:03:43.718453,28/Jul/2026:11:03:43.718480,0.0000
1,1,188,success,None,28/Jul/2026:11:03:43.718488,28/Jul/2026:11:03:43.718515,0.0000
1,1,224,success,None,28/Jul/2026:11:03:43.718522,28/Jul/2026:11:03:43.718549,0.0000
1,1,230,success,None,28/Jul/2026:11:03:43.718557,28/Jul/2026:11:03:43.718583,0.0000
1,1,312,success,None,28/Jul/2026:11:03:43.718591,28/Jul/2026:11:03:43.718620,0.0000
1,1,314,success,None,28/Jul/2026:11:03:43.718628,28/Jul/2026:11:03:43.718655,0.0000
1,1,327,success,None,28/Jul/2026:11:03:43.718663,28/Jul/2026:11:03:43.718690,0.0000
1,1,332,success,None,28/Jul/2026:11:03:43.718697,28/Jul/2026:11:03:43.718724,0.0000
1,1,336,success,None,28/Jul/2026:11:03:43.718731,28/Jul/2026:11:03:43.718757,0.0000
1,1,361,success,None,28/Jul/2026:11:03:43.718764,28/Jul/2026:11:03:43.718790,0.0000
1,1,377,success,None,28/Jul/2026:11:03:43.718797,28/Jul/2026:11:03:43.718824,0.0000
1,1,379,success,None,28/Jul/2026:11:03:43.718831,28/Jul/2026:11:03:43.718858,0.0000
1,1,415,success,None,28/Jul/2026:11:03:43.718865,28/Jul/2026:11:03:43.718893,0.0000
