maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies,HTTPS Byte Ranges,HTTPSRequestIDs
1,5,2,success,None,22/Jul/2026:17:30:44.140614,22/Jul/2026:17:30:44.409087,0.2685,0,None,None,None,None
1,5,8,success,None,22/Jul/2026:17:30:44.409130,22/Jul/2026:17:30:44.594125,0.1850,0,None,None,None,None
1,5,15,success,None,22/Jul/2026:17:30:44.594163,22/Jul/2026:17:30:44.703196,0.1090,0,None,None,None,None
1,5,21,success,None,22/Jul/2026:17:30:44.703239,22/Jul/2026:17:30:44.815764,0.1125,0,None,None,None,None
1,5,30,success,None,22/Jul/2026:17:30:44.815793,22/Jul/2026:17:30:44.950014,0.1342,2,22/Jul/2026:17:30:44.816306;22/Jul/2026:17:30:44.703584,0.0442;0.1598,bytes=17700386-18223142;bytes=11477889-11996888,7336cfaa;3a12f67f
1,5,36,success,None,22/Jul/2026:17:30:44.950045,22/Jul/2026:17:30:45.066068,0.1160,0,None,None,None,None
1,5,44,success,None,22/Jul/2026:17:30:45.066096,22/Jul/2026:17:30:45.199496,0.1334,1,22/Jul/2026:17:30:44.816231,0.2911,bytes=17171498-17700385,2a4416f0
1,5,53,success,None,22/Jul/2026:17:30:45.199525,22/Jul/2026:17:30:45.475037,0.2755,1,22/Jul/2026:17:30:44.950544,0.2897,bytes=21336948-21863084,3eaedc66
1,5,59,success,None,22/Jul/2026:17:30:45.475118,22/Jul/2026:17:30:45.647685,0.1726,0,None,None,None,None
1,5,69,success,None,22/Jul/2026:17:30:45.647724,22/Jul/2026:17:30:45.892378,0.2447,1,22/Jul/2026:17:30:45.200120,0.4825,bytes=31217796-31748167,8456df2e
1,5,75,success,None,22/Jul/2026:17:30:45.892447,22/Jul/2026:17:30:46.082202,0.1898,0,None,None,None,None
1,5,85,success,None,22/Jul/2026:17:30:46.082241,22/Jul/2026:17:30:46.287223,0.2050,2,22/Jul/2026:17:30:45.648295;22/Jul/2026:17:30:46.082797,0.4779;0.0639,bytes=40103113-40618318;bytes=48925747-49451388,f8127e9e;1576216d
1,5,96,success,None,22/Jul/2026:17:30:46.287261,22/Jul/2026:17:30:46.487529,0.2003,1,22/Jul/2026:17:30:44.703922,1.6270,bytes=13541672-14060422,e3c90791
1,5,102,success,None,22/Jul/2026:17:30:46.487567,22/Jul/2026:17:30:46.713494,0.2259,0,None,None,None,None
1,5,108,success,None,22/Jul/2026:17:30:46.713566,22/Jul/2026:17:30:46.899991,0.1864,0,None,None,None,None
1,5,114,success,None,22/Jul/2026:17:30:46.900031,22/Jul/2026:17:30:47.104622,0.2046,0,None,None,None,None
1,5,122,success,None,22/Jul/2026:17:30:47.104674,22/Jul/2026:17:30:47.304847,0.2002,0,None,None,None,None
1,5,128,success,None,22/Jul/2026:17:30:47.304904,22/Jul/2026:17:30:47.525327,0.2204,0,None,None,None,None
1,5,137,success,None,22/Jul/2026:17:30:47.525363,22/Jul/2026:17:30:47.744191,0.2188,2,22/Jul/2026:17:30:46.900507;22/Jul/2026:17:30:45.892904,0.6611;1.6756,bytes=64590822-65122080;bytes=42174167-42688032,b8f32558;07399824
1,5,152,success,None,22/Jul/2026:17:30:47.744228,22/Jul/2026:17:30:47.942057,0.1978,0,None,None,None,None
1,5,159,success,None,22/Jul/2026:17:30:47.942092,22/Jul/2026:17:30:48.143527,0.2014,1,22/Jul/2026:17:30:47.525987,0.4530,bytes=78666018-79192752,7a005298
1,5,179,success,None,22/Jul/2026:17:30:48.143570,22/Jul/2026:17:30:48.335154,0.1916,0,None,None,None,None
1,5,190,success,None,22/Jul/2026:17:30:48.335198,22/Jul/2026:17:30:48.532608,0.1974,0,None,None,None,None
1,5,197,success,None,22/Jul/2026:17:30:48.532643,22/Jul/2026:17:30:48.722681,0.1900,0,None,None,None,None
1,5,204,success,None,22/Jul/2026:17:30:48.722721,22/Jul/2026:17:30:48.892214,0.1695,2,22/Jul/2026:17:30:48.143877;22/Jul/2026:17:30:46.488014,0.6270;2.2879,bytes=101000600-101515516;bytes=57800748-58327893,e926a699;422a8d29
1,5,215,success,None,22/Jul/2026:17:30:48.892247,22/Jul/2026:17:30:49.055049,0.1628,1,22/Jul/2026:17:30:46.900350,2.0287,bytes=64064315-64590821,38713c60
1,5,223,success,None,22/Jul/2026:17:30:49.055089,22/Jul/2026:17:30:49.221599,0.1665,0,None,None,None,None
1,5,231,success,None,22/Jul/2026:17:30:49.221636,22/Jul/2026:17:30:49.382924,0.1613,1,22/Jul/2026:17:30:45.200045,4.0561,bytes=30695617-31217795,47550eb1
1,5,243,success,None,22/Jul/2026:17:30:49.382958,22/Jul/2026:17:30:49.556389,0.1734,1,22/Jul/2026:17:30:47.942390,1.4757,bytes=89558631-90072730,833ea7a2
1,5,252,success,None,22/Jul/2026:17:30:49.556430,22/Jul/2026:17:30:49.715888,0.1595,0,None,None,None,None
1,5,263,success,None,22/Jul/2026:17:30:49.715926,22/Jul/2026:17:30:49.912970,0.1970,0,None,None,None,None
1,5,285,success,None,22/Jul/2026:17:30:49.913009,22/Jul/2026:17:30:50.119777,0.2068,0,None,None,None,None
1,5,292,success,None,22/Jul/2026:17:30:50.119817,22/Jul/2026:17:30:50.316483,0.1967,1,22/Jul/2026:17:30:47.525814,2.6428,bytes=77635663-78151160,e3786ef4
1,5,308,success,None,22/Jul/2026:17:30:50.316547,22/Jul/2026:17:30:50.517105,0.2006,0,None,None,None,None
1,5,317,success,None,22/Jul/2026:17:30:50.517197,22/Jul/2026:17:30:50.705613,0.1884,1,22/Jul/2026:17:30:50.317174,0.2480,bytes=173952868-174475530,127cbb7c
1,5,327,success,None,22/Jul/2026:17:30:50.705649,22/Jul/2026:17:30:50.878608,0.1730,0,None,None,None,None
1,5,342,success,None,22/Jul/2026:17:30:50.878649,22/Jul/2026:17:30:51.058213,0.1796,0,None,None,None,None
1,5,354,success,None,22/Jul/2026:17:30:51.058251,22/Jul/2026:17:30:51.228459,0.1702,2,22/Jul/2026:17:30:50.706101;22/Jul/2026:17:30:50.878965,0.4013;0.2296,bytes=184849085-185372105;bytes=192686251-193200322,1ae69ea5;48f2b403
1,5,364,success,None,22/Jul/2026:17:30:51.228497,22/Jul/2026:17:30:51.398038,0.1695,0,None,None,None,None
1,5,370,success,None,22/Jul/2026:17:30:51.398079,22/Jul/2026:17:30:51.528244,0.1302,0,None,None,None,None
1,5,381,success,None,22/Jul/2026:17:30:51.528374,22/Jul/2026:17:30:51.528457,0.0001,0,None,None,None,None
1,5,391,success,None,22/Jul/2026:17:30:51.528469,22/Jul/2026:17:30:51.528496,0.0000,0,None,None,None,None
1,5,397,success,None,22/Jul/2026:17:30:51.528502,22/Jul/2026:17:30:51.528522,0.0000,0,None,None,None,None
1,5,405,success,None,22/Jul/2026:17:30:51.528528,22/Jul/2026:17:30:51.528547,0.0000,0,None,None,None,None
1,5,413,success,None,22/Jul/2026:17:30:51.528552,22/Jul/2026:17:30:51.528568,0.0000,0,None,None,None,None
1,5,420,success,None,22/Jul/2026:17:30:51.528573,22/Jul/2026:17:30:51.528589,0.0000,0,None,None,None,None
1,5,429,success,None,22/Jul/2026:17:30:51.528594,22/Jul/2026:17:30:51.528610,0.0000,0,None,None,None,None
1,5,448,success,None,22/Jul/2026:17:30:51.528616,22/Jul/2026:17:30:51.528631,0.0000,0,None,None,None,None
1,5,454,success,None,22/Jul/2026:17:30:51.528636,22/Jul/2026:17:30:51.528651,0.0000,0,None,None,None,None
1,5,461,success,None,22/Jul/2026:17:30:51.528656,22/Jul/2026:17:30:51.528672,0.0000,0,None,None,None,None
2,5,2,success,None,22/Jul/2026:17:30:51.598483,22/Jul/2026:17:30:51.775889,0.1774,0,None,None,None,None
2,5,8,success,None,22/Jul/2026:17:30:51.598717,22/Jul/2026:17:30:51.866303,0.2676,0,None,None,None,None
2,5,15,success,None,22/Jul/2026:17:30:51.775923,22/Jul/2026:17:30:51.937923,0.1620,0,None,None,None,None
2,5,21,success,None,22/Jul/2026:17:30:51.866332,22/Jul/2026:17:30:52.009572,0.1432,1,22/Jul/2026:17:30:51.866715,0.1148,bytes=11996889-12509772,c9b9cee5
2,5,36,success,None,22/Jul/2026:17:30:52.009598,22/Jul/2026:17:30:52.277090,0.2675,0,None,None,None,None
2,5,30,success,None,22/Jul/2026:17:30:51.937953,22/Jul/2026:17:30:52.302842,0.3649,1,22/Jul/2026:17:30:51.866715,0.1148,bytes=11996889-12509772,c9b9cee5
2,5,44,success,None,22/Jul/2026:17:30:52.277131,22/Jul/2026:17:30:52.468145,0.1910,2,22/Jul/2026:17:30:52.010232;22/Jul/2026:17:30:51.601743,0.3040;0.7483,bytes=21863085-22376216;bytes=5287640-5810854,d0c5a7bd;7cb3916b
2,5,53,success,None,22/Jul/2026:17:30:52.302869,22/Jul/2026:17:30:52.506142,0.2033,2,22/Jul/2026:17:30:52.010232;22/Jul/2026:17:30:51.601743,0.3040;0.7483,bytes=21863085-22376216;bytes=5287640-5810854,d0c5a7bd;7cb3916b
2,5,59,success,None,22/Jul/2026:17:30:52.468175,22/Jul/2026:17:30:52.595695,0.1275,2,22/Jul/2026:17:30:51.599594;22/Jul/2026:17:30:52.468453,0.9139;0.0818,bytes=2680372-3206717;bytes=33307953-33819120,5195795b;34f9df72
2,5,69,success,None,22/Jul/2026:17:30:52.506180,22/Jul/2026:17:30:52.698232,0.1921,2,22/Jul/2026:17:30:51.599594;22/Jul/2026:17:30:52.468453,0.9139;0.0818,bytes=2680372-3206717;bytes=33307953-33819120,5195795b;34f9df72
2,5,75,success,None,22/Jul/2026:17:30:52.595724,22/Jul/2026:17:30:52.756267,0.1605,0,None,None,None,None
2,5,85,success,None,22/Jul/2026:17:30:52.698276,22/Jul/2026:17:30:52.932020,0.2337,2,22/Jul/2026:17:30:52.699637;22/Jul/2026:17:30:52.277634,0.0935;0.5208,bytes=49451389-49981197;bytes=24979562-25506148,4fb751f1;44404b9d
2,5,96,success,None,22/Jul/2026:17:30:52.756293,22/Jul/2026:17:30:52.979623,0.2233,2,22/Jul/2026:17:30:52.699637;22/Jul/2026:17:30:52.277634,0.0935;0.5208,bytes=49451389-49981197;bytes=24979562-25506148,4fb751f1;44404b9d
2,5,102,success,None,22/Jul/2026:17:30:52.932058,22/Jul/2026:17:30:53.071403,0.1393,2,22/Jul/2026:17:30:52.932360;22/Jul/2026:17:30:52.932653,0.0919;0.0954,bytes=57284351-57800747;bytes=58857908-59387362,b9c3c81c;adf66e6d
2,5,108,success,None,22/Jul/2026:17:30:52.979656,22/Jul/2026:17:30:53.184594,0.2049,2,22/Jul/2026:17:30:52.932360;22/Jul/2026:17:30:52.932653,0.0919;0.0954,bytes=57284351-57800747;bytes=58857908-59387362,b9c3c81c;adf66e6d
2,5,114,success,None,22/Jul/2026:17:30:53.071431,22/Jul/2026:17:30:53.214217,0.1428,0,None,None,None,None
2,5,122,success,None,22/Jul/2026:17:30:53.184623,22/Jul/2026:17:30:53.320628,0.1360,3,22/Jul/2026:17:30:52.303330;22/Jul/2026:17:30:52.699319;22/Jul/2026:17:30:53.185012,0.9157;0.5234;0.0735,bytes=31217796-31748167;bytes=48396287-48925746;bytes=69292458-69812302,67012acc;3b67998e;af07b779
2,5,128,success,None,22/Jul/2026:17:30:53.214251,22/Jul/2026:17:30:53.417148,0.2029,3,22/Jul/2026:17:30:52.303330;22/Jul/2026:17:30:52.699319;22/Jul/2026:17:30:53.185012,0.9157;0.5234;0.0735,bytes=31217796-31748167;bytes=48396287-48925746;bytes=69292458-69812302,67012acc;3b67998e;af07b779
2,5,137,success,None,22/Jul/2026:17:30:53.320664,22/Jul/2026:17:30:53.455661,0.1350,0,None,None,None,None
