maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency
1,2,12,success,None,28/Jul/2026:11:44:52.835894,28/Jul/2026:11:45:24.026669,31.1906
1,2,27,success,None,28/Jul/2026:11:45:24.026799,28/Jul/2026:11:45:51.462135,27.4352
1,2,96,success,None,28/Jul/2026:11:45:51.462281,28/Jul/2026:11:46:19.643213,28.1808
1,2,122,failed,,28/Jul/2026:11:46:19.643315,28/Jul/2026:12:38:30.013133,300.8239
1,2,138,success,None,28/Jul/2026:12:38:30.015158,28/Jul/2026:12:38:30.682849,0.6677
1,2,152,success,None,28/Jul/2026:12:38:30.682966,28/Jul/2026:12:38:31.812800,1.1298
1,2,155,success,None,28/Jul/2026:12:38:31.812954,28/Jul/2026:12:38:31.917422,0.1045
1,2,162,success,None,28/Jul/2026:12:38:31.917570,28/Jul/2026:12:38:32.013296,0.0957
1,2,169,success,None,28/Jul/2026:12:38:32.013417,28/Jul/2026:12:38:32.124761,0.1113
1,2,211,success,None,28/Jul/2026:12:38:32.124919,28/Jul/2026:12:38:32.571286,0.4464
1,2,226,success,None,28/Jul/2026:12:38:32.571421,28/Jul/2026:12:38:32.653626,0.0822
1,2,268,success,None,28/Jul/2026:12:38:32.653814,28/Jul/2026:12:38:32.741439,0.0876
1,2,309,success,None,28/Jul/2026:12:38:32.741546,28/Jul/2026:12:38:32.826147,0.0846
1,2,316,success,None,28/Jul/2026:12:38:32.826278,28/Jul/2026:12:38:32.925180,0.0989
1,2,345,success,None,28/Jul/2026:12:38:32.925324,28/Jul/2026:12:38:33.040227,0.1149
1,2,363,success,None,28/Jul/2026:12:38:33.040399,28/Jul/2026:12:38:33.149812,0.1094
1,2,377,success,None,28/Jul/2026:12:38:33.149973,28/Jul/2026:12:38:33.150133,0.0002
1,2,392,success,None,28/Jul/2026:12:38:33.150145,28/Jul/2026:12:38:33.150178,0.0000
1,2,395,success,None,28/Jul/2026:12:38:33.150225,28/Jul/2026:12:38:33.150253,0.0000
1,2,411,success,None,28/Jul/2026:12:38:33.150262,28/Jul/2026:12:38:33.150288,0.0000
