maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency
1,5,14,success,None,11/Aug/2026:17:07:48.747546,11/Aug/2026:17:07:49.459414,0.7118
1,5,29,success,None,11/Aug/2026:17:07:49.459719,11/Aug/2026:17:07:50.131680,0.6719
1,5,37,success,None,11/Aug/2026:17:07:50.131982,11/Aug/2026:17:07:50.958729,0.8267
1,5,94,success,None,11/Aug/2026:17:07:50.959048,11/Aug/2026:17:07:51.377425,0.4184
1,5,103,success,None,11/Aug/2026:17:07:51.377725,11/Aug/2026:17:07:52.037930,0.6602
1,5,111,success,None,11/Aug/2026:17:07:52.038218,11/Aug/2026:17:07:52.676101,0.6379
1,5,124,success,None,11/Aug/2026:17:07:52.676401,11/Aug/2026:17:07:52.943191,0.2668
1,5,150,success,None,11/Aug/2026:17:07:52.943466,11/Aug/2026:17:07:53.606250,0.6628
1,5,159,success,None,11/Aug/2026:17:07:53.606541,11/Aug/2026:17:07:54.309587,0.7030
1,5,191,success,None,11/Aug/2026:17:07:54.309858,11/Aug/2026:17:07:54.952451,0.6426
1,5,200,success,None,11/Aug/2026:17:07:54.952736,11/Aug/2026:17:07:55.583002,0.6302
1,5,229,success,None,11/Aug/2026:17:07:55.583297,11/Aug/2026:17:07:55.808714,0.2254
1,5,238,success,None,11/Aug/2026:17:07:55.809001,11/Aug/2026:17:07:56.439261,0.6302
1,5,244,success,None,11/Aug/2026:17:07:56.439550,11/Aug/2026:17:07:57.118943,0.6794
1,5,263,success,None,11/Aug/2026:17:07:57.119247,11/Aug/2026:17:07:57.774477,0.6552
1,5,270,success,None,11/Aug/2026:17:07:57.774769,11/Aug/2026:17:07:58.411753,0.6370
1,5,289,success,None,11/Aug/2026:17:07:58.412037,11/Aug/2026:17:07:59.253051,0.8410
1,5,335,success,None,11/Aug/2026:17:07:59.253331,11/Aug/2026:17:07:59.697681,0.4443
1,5,368,success,None,11/Aug/2026:17:07:59.697964,11/Aug/2026:17:08:00.338999,0.6410
1,5,382,success,None,11/Aug/2026:17:08:00.339263,11/Aug/2026:17:08:01.006802,0.6675
1,5,387,success,None,11/Aug/2026:17:08:01.007095,11/Aug/2026:17:08:01.686241,0.6791
1,5,392,success,None,11/Aug/2026:17:08:01.686520,11/Aug/2026:17:08:02.353067,0.6665
1,5,430,success,None,11/Aug/2026:17:08:02.353330,11/Aug/2026:17:08:02.937054,0.5837
1,5,457,success,None,11/Aug/2026:17:08:02.937345,11/Aug/2026:17:08:03.147173,0.2098
1,5,486,success,None,11/Aug/2026:17:08:03.147452,11/Aug/2026:17:08:03.601054,0.4536
1,5,500,success,None,11/Aug/2026:17:08:03.601357,11/Aug/2026:17:08:04.029038,0.4277
1,5,505,success,None,11/Aug/2026:17:08:04.029323,11/Aug/2026:17:08:04.679423,0.6501
1,5,511,success,None,11/Aug/2026:17:08:04.679725,11/Aug/2026:17:08:05.336142,0.6564
1,5,520,success,None,11/Aug/2026:17:08:05.336409,11/Aug/2026:17:08:05.901338,0.5649
1,5,562,success,None,11/Aug/2026:17:08:05.901627,11/Aug/2026:17:08:06.787545,0.8859
1,10,6,success,None,11/Aug/2026:17:08:06.788881,11/Aug/2026:17:08:07.266258,0.4774
1,10,16,success,None,11/Aug/2026:17:08:07.266950,11/Aug/2026:17:08:08.193643,0.9267
1,10,26,success,None,11/Aug/2026:17:08:08.194228,11/Aug/2026:17:08:09.131170,0.9369
1,10,38,success,None,11/Aug/2026:17:08:09.131764,11/Aug/2026:17:08:09.919958,0.7882
1,10,53,success,None,11/Aug/2026:17:08:09.920553,11/Aug/2026:17:08:10.734079,0.8135
1,10,63,success,None,11/Aug/2026:17:08:10.734683,11/Aug/2026:17:08:11.878775,1.1441
1,10,81,success,None,11/Aug/2026:17:08:11.879934,11/Aug/2026:17:08:12.625609,0.7457
1,10,94,success,None,11/Aug/2026:17:08:12.626224,11/Aug/2026:17:08:13.521061,0.8948
1,10,129,success,None,11/Aug/2026:17:08:13.521648,11/Aug/2026:17:08:14.249421,0.7278
1,10,151,success,None,11/Aug/2026:17:08:14.250008,11/Aug/2026:17:08:14.956577,0.7066
1,10,171,success,None,11/Aug/2026:17:08:14.957173,11/Aug/2026:17:08:15.796366,0.8392
1,10,183,success,None,11/Aug/2026:17:08:15.796961,11/Aug/2026:17:08:16.600678,0.8037
1,10,198,success,None,11/Aug/2026:17:08:16.601272,11/Aug/2026:17:08:17.540714,0.9394
1,10,214,success,None,11/Aug/2026:17:08:17.541332,11/Aug/2026:17:08:18.365489,0.8241
1,10,233,success,None,11/Aug/2026:17:08:18.366162,11/Aug/2026:17:08:19.075757,0.7096
1,10,243,success,None,11/Aug/2026:17:08:19.076349,11/Aug/2026:17:08:19.751978,0.6756
1,10,288,success,None,11/Aug/2026:17:08:19.752578,11/Aug/2026:17:08:20.681722,0.9291
1,10,305,success,None,11/Aug/2026:17:08:20.682311,11/Aug/2026:17:08:21.464821,0.7825
1,10,316,success,None,11/Aug/2026:17:08:21.465446,11/Aug/2026:17:08:22.382580,0.9171
1,10,331,success,None,11/Aug/2026:17:08:22.383174,11/Aug/2026:17:08:23.166769,0.7836
1,10,343,success,None,11/Aug/2026:17:08:23.167387,11/Aug/2026:17:08:24.081723,0.9143
1,10,363,success,None,11/Aug/2026:17:08:24.082334,11/Aug/2026:17:08:24.792471,0.7101
1,10,441,success,None,11/Aug/2026:17:08:24.793060,11/Aug/2026:17:08:25.638989,0.8459
1,10,452,success,None,11/Aug/2026:17:08:25.639624,11/Aug/2026:17:08:26.344215,0.7046
1,10,468,success,None,11/Aug/2026:17:08:26.344828,11/Aug/2026:17:08:27.309569,0.9647
1,10,482,success,None,11/Aug/2026:17:08:27.310140,11/Aug/2026:17:08:28.219933,0.9098
1,10,507,success,None,11/Aug/2026:17:08:28.220570,11/Aug/2026:17:08:29.121391,0.9008
1,10,517,success,None,11/Aug/2026:17:08:29.121984,11/Aug/2026:17:08:30.047253,0.9253
1,10,550,success,None,11/Aug/2026:17:08:30.047845,11/Aug/2026:17:08:30.744015,0.6962
1,10,589,success,None,11/Aug/2026:17:08:30.744604,11/Aug/2026:17:08:31.728197,0.9836
1,15,1,success,None,11/Aug/2026:17:08:31.729750,11/Aug/2026:17:08:33.032195,1.3024
1,15,27,success,None,11/Aug/2026:17:08:33.033252,11/Aug/2026:17:08:34.017244,0.9840
1,15,43,success,None,11/Aug/2026:17:08:34.018247,11/Aug/2026:17:08:34.897938,0.8797
1,15,66,success,None,11/Aug/2026:17:08:34.898900,11/Aug/2026:17:08:35.824558,0.9256
1,15,82,success,None,11/Aug/2026:17:08:35.825508,11/Aug/2026:17:08:36.821588,0.9961
1,15,115,success,None,11/Aug/2026:17:08:36.822617,11/Aug/2026:17:08:37.987195,1.1646
1,15,132,success,None,11/Aug/2026:17:08:37.988196,11/Aug/2026:17:08:38.978916,0.9907
1,15,150,success,None,11/Aug/2026:17:08:38.979867,11/Aug/2026:17:08:39.999066,1.0192
1,15,168,success,None,11/Aug/2026:17:08:40.000046,11/Aug/2026:17:08:40.979979,0.9799
1,15,189,success,None,11/Aug/2026:17:08:40.980946,11/Aug/2026:17:08:41.983770,1.0028
1,15,204,success,None,11/Aug/2026:17:08:41.984757,11/Aug/2026:17:08:42.968359,0.9836
1,15,226,success,None,11/Aug/2026:17:08:42.969310,11/Aug/2026:17:08:43.985091,1.0158
1,15,241,success,None,11/Aug/2026:17:08:43.986074,11/Aug/2026:17:08:45.062482,1.0764
1,15,256,success,None,11/Aug/2026:17:08:45.063467,11/Aug/2026:17:08:46.060722,0.9972
1,15,281,success,None,11/Aug/2026:17:08:46.061682,11/Aug/2026:17:08:47.110179,1.0485
1,15,303,success,None,11/Aug/2026:17:08:47.111197,11/Aug/2026:17:08:48.076108,0.9649
1,15,318,success,None,11/Aug/2026:17:08:48.077074,11/Aug/2026:17:08:49.014190,0.9371
1,15,343,success,None,11/Aug/2026:17:08:49.015166,11/Aug/2026:17:08:50.027986,1.0128
1,15,367,success,None,11/Aug/2026:17:08:50.028980,11/Aug/2026:17:08:51.038331,1.0093
1,15,386,success,None,11/Aug/2026:17:08:51.039333,11/Aug/2026:17:08:52.097926,1.0586
1,15,403,success,None,11/Aug/2026:17:08:52.098904,11/Aug/2026:17:08:53.060230,0.9613
1,15,418,success,None,11/Aug/2026:17:08:53.061197,11/Aug/2026:17:08:53.943024,0.8818
1,15,435,success,None,11/Aug/2026:17:08:53.944009,11/Aug/2026:17:08:54.966951,1.0229
1,15,453,success,None,11/Aug/2026:17:08:54.967911,11/Aug/2026:17:08:55.772680,0.8048
1,15,497,success,None,11/Aug/2026:17:08:55.773645,11/Aug/2026:17:08:56.802898,1.0292
1,15,516,success,None,11/Aug/2026:17:08:56.803889,11/Aug/2026:17:08:58.026295,1.2224
1,15,531,success,None,11/Aug/2026:17:08:58.027289,11/Aug/2026:17:08:59.028085,1.0008
1,15,546,success,None,11/Aug/2026:17:08:59.029081,11/Aug/2026:17:09:00.121747,1.0927
1,15,564,success,None,11/Aug/2026:17:09:00.122701,11/Aug/2026:17:09:01.085310,0.9626
1,15,585,success,None,11/Aug/2026:17:09:01.086304,11/Aug/2026:17:09:02.224324,1.1380
2,5,14,success,None,11/Aug/2026:17:09:02.226319,11/Aug/2026:17:09:02.896121,0.6698
2,5,29,success,None,11/Aug/2026:17:09:02.226481,11/Aug/2026:17:09:02.899868,0.6734
2,5,37,success,None,11/Aug/2026:17:09:02.896401,11/Aug/2026:17:09:03.368601,0.4722
2,5,94,success,None,11/Aug/2026:17:09:02.900145,11/Aug/2026:17:09:03.539487,0.6393
2,5,111,success,None,11/Aug/2026:17:09:03.539746,11/Aug/2026:17:09:03.785211,0.2455
2,5,103,success,None,11/Aug/2026:17:09:03.368849,11/Aug/2026:17:09:04.180126,0.8113
2,5,124,success,None,11/Aug/2026:17:09:03.785468,11/Aug/2026:17:09:04.218551,0.4331
2,5,150,success,None,11/Aug/2026:17:09:04.180417,11/Aug/2026:17:09:04.717985,0.5376
2,5,159,success,None,11/Aug/2026:17:09:04.218843,11/Aug/2026:17:09:04.986911,0.7681
2,5,191,success,None,11/Aug/2026:17:09:04.718276,11/Aug/2026:17:09:05.252637,0.5344
2,5,200,success,None,11/Aug/2026:17:09:04.987156,11/Aug/2026:17:09:05.378980,0.3918
2,5,229,success,None,11/Aug/2026:17:09:05.252914,11/Aug/2026:17:09:05.643966,0.3910
2,5,238,success,None,11/Aug/2026:17:09:05.379291,11/Aug/2026:17:09:05.818569,0.4393
2,5,244,success,None,11/Aug/2026:17:09:05.644225,11/Aug/2026:17:09:05.962723,0.3185
2,5,263,success,None,11/Aug/2026:17:09:05.818837,11/Aug/2026:17:09:06.036182,0.2173
2,5,270,success,None,11/Aug/2026:17:09:05.963016,11/Aug/2026:17:09:06.545602,0.5826
