maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency
1,5,5,success,None,11/Aug/2026:17:19:42.831830,11/Aug/2026:17:19:43.770582,0.9387
1,5,35,success,None,11/Aug/2026:17:19:43.770875,11/Aug/2026:17:19:44.959342,1.1885
1,5,102,success,None,11/Aug/2026:17:19:44.959598,11/Aug/2026:17:19:45.548864,0.5893
1,5,109,success,None,11/Aug/2026:17:19:45.549158,11/Aug/2026:17:19:46.398477,0.8493
1,5,140,success,None,11/Aug/2026:17:19:46.398752,11/Aug/2026:17:19:47.308920,0.9102
1,5,145,success,None,11/Aug/2026:17:19:47.309244,11/Aug/2026:17:19:47.868789,0.5595
1,5,165,success,None,11/Aug/2026:17:19:47.869053,11/Aug/2026:17:19:48.619094,0.7500
1,5,172,success,None,11/Aug/2026:17:19:48.619390,11/Aug/2026:17:19:49.460701,0.8413
1,5,186,success,None,11/Aug/2026:17:19:49.460997,11/Aug/2026:17:19:50.085996,0.6250
1,5,198,success,None,11/Aug/2026:17:19:50.086294,11/Aug/2026:17:19:50.768470,0.6822
1,5,210,success,None,11/Aug/2026:17:19:50.768738,11/Aug/2026:17:19:51.447428,0.6787
1,5,229,success,None,11/Aug/2026:17:19:51.447696,11/Aug/2026:17:19:52.135974,0.6883
1,5,244,success,None,11/Aug/2026:17:19:52.136263,11/Aug/2026:17:19:52.799748,0.6635
1,5,262,success,None,11/Aug/2026:17:19:52.800026,11/Aug/2026:17:19:53.924623,1.1246
1,5,276,success,None,11/Aug/2026:17:19:53.924914,11/Aug/2026:17:19:54.637361,0.7124
1,5,294,success,None,11/Aug/2026:17:19:54.637645,11/Aug/2026:17:19:55.262662,0.6250
1,5,310,success,None,11/Aug/2026:17:19:55.262935,11/Aug/2026:17:19:55.912616,0.6497
1,5,321,success,None,11/Aug/2026:17:19:55.912885,11/Aug/2026:17:19:56.627654,0.7148
1,5,363,success,None,11/Aug/2026:17:19:56.627948,11/Aug/2026:17:19:57.224551,0.5966
1,5,377,success,None,11/Aug/2026:17:19:57.224834,11/Aug/2026:17:19:57.746560,0.5217
1,5,416,success,None,11/Aug/2026:17:19:57.746833,11/Aug/2026:17:19:58.254079,0.5072
1,5,422,success,None,11/Aug/2026:17:19:58.254364,11/Aug/2026:17:19:59.296968,1.0426
1,5,437,success,None,11/Aug/2026:17:19:59.297261,11/Aug/2026:17:19:59.876533,0.5793
