maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency
1,5,32,success,None,11/Aug/2026:17:26:20.002788,11/Aug/2026:17:26:20.864324,0.8615
1,5,39,success,None,11/Aug/2026:17:26:20.864595,11/Aug/2026:17:26:21.295648,0.4310
1,5,58,success,None,11/Aug/2026:17:26:21.295912,11/Aug/2026:17:26:21.518273,0.2224
1,5,96,success,None,11/Aug/2026:17:26:21.518499,11/Aug/2026:17:26:21.759351,0.2408
1,5,115,success,None,11/Aug/2026:17:26:21.759592,11/Aug/2026:17:26:22.444085,0.6845
1,5,128,success,None,11/Aug/2026:17:26:22.444336,11/Aug/2026:17:26:22.674545,0.2302
1,5,136,success,None,11/Aug/2026:17:26:22.674803,11/Aug/2026:17:26:23.105981,0.4312
1,5,176,success,None,11/Aug/2026:17:26:23.106223,11/Aug/2026:17:26:23.329581,0.2234
1,5,185,success,None,11/Aug/2026:17:26:23.329811,11/Aug/2026:17:26:23.561642,0.2318
1,5,204,success,None,11/Aug/2026:17:26:23.561872,11/Aug/2026:17:26:24.308277,0.7464
1,5,215,success,None,11/Aug/2026:17:26:24.308523,11/Aug/2026:17:26:24.620265,0.3117
1,5,259,success,None,11/Aug/2026:17:26:24.620490,11/Aug/2026:17:26:24.867052,0.2466
1,5,266,success,None,11/Aug/2026:17:26:24.867267,11/Aug/2026:17:26:25.502966,0.6357
1,5,287,success,None,11/Aug/2026:17:26:25.503206,11/Aug/2026:17:26:25.756319,0.2531
1,5,318,success,None,11/Aug/2026:17:26:25.756531,11/Aug/2026:17:26:26.013992,0.2575
1,5,323,success,None,11/Aug/2026:17:26:26.014225,11/Aug/2026:17:26:26.264678,0.2504
1,5,331,success,None,11/Aug/2026:17:26:26.264928,11/Aug/2026:17:26:26.667366,0.4024
1,5,357,success,None,11/Aug/2026:17:26:26.667590,11/Aug/2026:17:26:27.226937,0.5593
1,5,411,success,None,11/Aug/2026:17:26:27.227177,11/Aug/2026:17:26:27.513808,0.2866
1,5,424,success,None,11/Aug/2026:17:26:27.514039,11/Aug/2026:17:26:27.770854,0.2568
1,5,448,success,None,11/Aug/2026:17:26:27.771077,11/Aug/2026:17:26:28.022044,0.2510
1,5,460,success,None,11/Aug/2026:17:26:28.022270,11/Aug/2026:17:26:28.553587,0.5313
1,5,480,success,None,11/Aug/2026:17:26:28.553825,11/Aug/2026:17:26:29.115808,0.5620
1,5,492,success,None,11/Aug/2026:17:26:29.116038,11/Aug/2026:17:26:29.674731,0.5587
1,5,500,success,None,11/Aug/2026:17:26:29.674957,11/Aug/2026:17:26:30.299657,0.6247
1,5,518,success,None,11/Aug/2026:17:26:30.299873,11/Aug/2026:17:26:31.049730,0.7499
1,5,543,success,None,11/Aug/2026:17:26:31.049959,11/Aug/2026:17:26:31.295471,0.2455
1,5,568,success,None,11/Aug/2026:17:26:31.295699,11/Aug/2026:17:26:31.553926,0.2582
1,5,580,success,None,11/Aug/2026:17:26:31.554163,11/Aug/2026:17:26:32.102661,0.5485
1,5,590,success,None,11/Aug/2026:17:26:32.102889,11/Aug/2026:17:26:32.510457,0.4076
1,10,0,success,None,11/Aug/2026:17:26:32.511506,11/Aug/2026:17:26:32.977069,0.4656
1,10,27,success,None,11/Aug/2026:17:26:32.977637,11/Aug/2026:17:26:33.912984,0.9353
1,10,55,success,None,11/Aug/2026:17:26:33.913457,11/Aug/2026:17:26:34.794976,0.8815
1,10,70,success,None,11/Aug/2026:17:26:34.795443,11/Aug/2026:17:26:35.510141,0.7147
1,10,97,success,None,11/Aug/2026:17:26:35.510628,11/Aug/2026:17:26:36.213160,0.7025
1,10,107,success,None,11/Aug/2026:17:26:36.213645,11/Aug/2026:17:26:37.036133,0.8225
1,10,119,success,None,11/Aug/2026:17:26:37.036612,11/Aug/2026:17:26:37.804873,0.7683
1,10,173,success,None,11/Aug/2026:17:26:37.805373,11/Aug/2026:17:26:38.746032,0.9407
1,10,215,success,None,11/Aug/2026:17:26:38.746505,11/Aug/2026:17:26:39.498605,0.7521
1,10,244,success,None,11/Aug/2026:17:26:39.499083,11/Aug/2026:17:26:40.245244,0.7462
1,10,287,success,None,11/Aug/2026:17:26:40.245729,11/Aug/2026:17:26:41.011174,0.7654
1,10,298,success,None,11/Aug/2026:17:26:41.011871,11/Aug/2026:17:26:41.893216,0.8813
1,10,310,success,None,11/Aug/2026:17:26:41.893713,11/Aug/2026:17:26:42.679459,0.7857
1,10,322,success,None,11/Aug/2026:17:26:42.679953,11/Aug/2026:17:26:43.196100,0.5161
1,10,345,success,None,11/Aug/2026:17:26:43.196586,11/Aug/2026:17:26:44.058135,0.8615
1,10,367,success,None,11/Aug/2026:17:26:44.058642,11/Aug/2026:17:26:44.816774,0.7581
1,10,380,success,None,11/Aug/2026:17:26:44.817262,11/Aug/2026:17:26:45.553571,0.7363
1,10,397,success,None,11/Aug/2026:17:26:45.554055,11/Aug/2026:17:26:46.069281,0.5152
1,10,419,success,None,11/Aug/2026:17:26:46.069771,11/Aug/2026:17:26:46.562826,0.4930
1,10,430,success,None,11/Aug/2026:17:26:46.563332,11/Aug/2026:17:26:47.429646,0.8663
1,10,440,success,None,11/Aug/2026:17:26:47.430165,11/Aug/2026:17:26:48.169649,0.7395
1,10,452,success,None,11/Aug/2026:17:26:48.170151,11/Aug/2026:17:26:48.946551,0.7764
1,10,481,success,None,11/Aug/2026:17:26:48.947036,11/Aug/2026:17:26:49.678100,0.7311
1,10,500,success,None,11/Aug/2026:17:26:49.678605,11/Aug/2026:17:26:50.385346,0.7067
1,10,514,success,None,11/Aug/2026:17:26:50.385918,11/Aug/2026:17:26:51.248015,0.8621
1,10,530,success,None,11/Aug/2026:17:26:51.248524,11/Aug/2026:17:26:52.120660,0.8721
1,10,543,success,None,11/Aug/2026:17:26:52.121146,11/Aug/2026:17:26:52.917704,0.7966
1,10,559,success,None,11/Aug/2026:17:26:52.918197,11/Aug/2026:17:26:53.683565,0.7654
1,10,575,success,None,11/Aug/2026:17:26:53.684058,11/Aug/2026:17:26:54.405396,0.7213
1,10,586,success,None,11/Aug/2026:17:26:54.405884,11/Aug/2026:17:26:55.263444,0.8576
1,15,8,success,None,11/Aug/2026:17:26:55.264675,11/Aug/2026:17:26:56.439250,1.1746
1,15,26,success,None,11/Aug/2026:17:26:56.439963,11/Aug/2026:17:26:57.234929,0.7950
1,15,41,success,None,11/Aug/2026:17:26:57.235600,11/Aug/2026:17:26:58.166992,0.9314
1,15,64,success,None,11/Aug/2026:17:26:58.167650,11/Aug/2026:17:26:59.246323,1.0787
1,15,86,success,None,11/Aug/2026:17:26:59.246993,11/Aug/2026:17:27:00.229453,0.9825
1,15,106,success,None,11/Aug/2026:17:27:00.230120,11/Aug/2026:17:27:01.151229,0.9211
1,15,141,success,None,11/Aug/2026:17:27:01.151900,11/Aug/2026:17:27:02.124498,0.9726
1,15,157,success,None,11/Aug/2026:17:27:02.125194,11/Aug/2026:17:27:03.114085,0.9889
1,15,185,success,None,11/Aug/2026:17:27:03.114770,11/Aug/2026:17:27:04.033712,0.9189
1,15,202,success,None,11/Aug/2026:17:27:04.034380,11/Aug/2026:17:27:04.827598,0.7932
1,15,218,success,None,11/Aug/2026:17:27:04.828256,11/Aug/2026:17:27:05.825727,0.9975
1,15,244,success,None,11/Aug/2026:17:27:05.826401,11/Aug/2026:17:27:06.687459,0.8611
1,15,261,success,None,11/Aug/2026:17:27:06.688138,11/Aug/2026:17:27:07.651694,0.9635
1,15,280,success,None,11/Aug/2026:17:27:07.652396,11/Aug/2026:17:27:08.625399,0.9730
1,15,295,success,None,11/Aug/2026:17:27:08.626079,11/Aug/2026:17:27:09.506679,0.8806
1,15,313,success,None,11/Aug/2026:17:27:09.507362,11/Aug/2026:17:27:10.312070,0.8047
1,15,332,success,None,11/Aug/2026:17:27:10.312749,11/Aug/2026:17:27:11.194280,0.8815
1,15,349,success,None,11/Aug/2026:17:27:11.194949,11/Aug/2026:17:27:12.196922,1.0020
1,15,382,success,None,11/Aug/2026:17:27:12.197589,11/Aug/2026:17:27:13.185128,0.9875
1,15,399,success,None,11/Aug/2026:17:27:13.185817,11/Aug/2026:17:27:14.063872,0.8780
