maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency
1,5,8,success,None,10/Aug/2026:11:54:55.395926,10/Aug/2026:11:54:56.049972,0.6540
1,5,24,success,None,10/Aug/2026:11:54:56.050235,10/Aug/2026:11:54:56.274229,0.2240
1,5,43,success,None,10/Aug/2026:11:54:56.274458,10/Aug/2026:11:54:56.889177,0.6147
1,5,87,success,None,10/Aug/2026:11:54:56.889444,10/Aug/2026:11:54:57.452647,0.5632
1,5,117,success,None,10/Aug/2026:11:54:57.452905,10/Aug/2026:11:54:57.629424,0.1765
1,5,127,success,None,10/Aug/2026:11:54:57.629664,10/Aug/2026:11:54:58.178194,0.5485
1,5,132,success,None,10/Aug/2026:11:54:58.178443,10/Aug/2026:11:54:58.926592,0.7481
1,5,139,success,None,10/Aug/2026:11:54:58.926851,10/Aug/2026:11:54:59.087380,0.1605
1,5,155,success,None,10/Aug/2026:11:54:59.087625,10/Aug/2026:11:54:59.287178,0.1996
1,5,176,success,None,10/Aug/2026:11:54:59.287430,10/Aug/2026:11:54:59.590324,0.3029
1,5,187,success,None,10/Aug/2026:11:54:59.590573,10/Aug/2026:11:55:00.368366,0.7778
1,5,194,success,None,10/Aug/2026:11:55:00.368617,10/Aug/2026:11:55:01.099547,0.7309
1,5,202,success,None,10/Aug/2026:11:55:01.099822,10/Aug/2026:11:55:01.431742,0.3319
1,5,222,success,None,10/Aug/2026:11:55:01.431996,10/Aug/2026:11:55:01.809799,0.3778
1,5,233,success,None,10/Aug/2026:11:55:01.810061,10/Aug/2026:11:55:01.988843,0.1788
1,5,242,success,None,10/Aug/2026:11:55:01.989088,10/Aug/2026:11:55:02.329253,0.3402
1,5,335,success,None,10/Aug/2026:11:55:02.329509,10/Aug/2026:11:55:02.887500,0.5580
1,5,341,success,None,10/Aug/2026:11:55:02.887776,10/Aug/2026:11:55:03.415872,0.5281
1,5,352,success,None,10/Aug/2026:11:55:03.416142,10/Aug/2026:11:55:03.580100,0.1640
1,5,358,success,None,10/Aug/2026:11:55:03.580327,10/Aug/2026:11:55:03.732121,0.1518
1,10,8,success,None,10/Aug/2026:11:55:03.745145,10/Aug/2026:11:55:04.524095,0.7789
1,10,24,success,None,10/Aug/2026:11:55:04.524606,10/Aug/2026:11:55:05.285417,0.7608
1,10,41,success,None,10/Aug/2026:11:55:05.285887,10/Aug/2026:11:55:05.632808,0.3469
1,10,51,success,None,10/Aug/2026:11:55:05.633296,10/Aug/2026:11:55:06.491311,0.8580
1,10,69,success,None,10/Aug/2026:11:55:06.491784,10/Aug/2026:11:55:07.370245,0.8785
1,10,80,success,None,10/Aug/2026:11:55:07.370727,10/Aug/2026:11:55:08.089175,0.7184
1,10,105,success,None,10/Aug/2026:11:55:08.089654,10/Aug/2026:11:55:08.828110,0.7385
1,10,116,success,None,10/Aug/2026:11:55:08.828589,10/Aug/2026:11:55:09.549113,0.7205
1,10,126,success,None,10/Aug/2026:11:55:09.549589,10/Aug/2026:11:55:10.240810,0.6912
1,10,140,success,None,10/Aug/2026:11:55:10.241286,10/Aug/2026:11:55:11.044662,0.8034
1,10,156,success,None,10/Aug/2026:11:55:11.045135,10/Aug/2026:11:55:11.718392,0.6733
1,10,175,success,None,10/Aug/2026:11:55:11.718874,10/Aug/2026:11:55:12.561128,0.8423
1,10,218,success,None,10/Aug/2026:11:55:12.561610,10/Aug/2026:11:55:13.244298,0.6827
1,10,229,success,None,10/Aug/2026:11:55:13.244770,10/Aug/2026:11:55:13.938860,0.6941
1,10,253,success,None,10/Aug/2026:11:55:13.939343,10/Aug/2026:11:55:14.552291,0.6129
1,10,280,success,None,10/Aug/2026:11:55:14.552779,10/Aug/2026:11:55:14.935607,0.3828
1,10,295,success,None,10/Aug/2026:11:55:14.936097,10/Aug/2026:11:55:15.633098,0.6970
1,10,308,success,None,10/Aug/2026:11:55:15.633587,10/Aug/2026:11:55:16.477515,0.8439
1,10,329,success,None,10/Aug/2026:11:55:16.477995,10/Aug/2026:11:55:16.869735,0.3917
1,10,353,success,None,10/Aug/2026:11:55:16.870209,10/Aug/2026:11:55:17.580687,0.7105
1,15,2,success,None,10/Aug/2026:11:55:17.582072,10/Aug/2026:11:55:18.378895,0.7968
1,15,21,success,None,10/Aug/2026:11:55:18.379641,10/Aug/2026:11:55:19.365831,0.9862
1,15,37,success,None,10/Aug/2026:11:55:19.366538,10/Aug/2026:11:55:20.139668,0.7731
1,15,65,success,None,10/Aug/2026:11:55:20.140386,10/Aug/2026:11:55:21.103625,0.9632
1,15,86,success,None,10/Aug/2026:11:55:21.104359,10/Aug/2026:11:55:22.044913,0.9405
1,15,101,success,None,10/Aug/2026:11:55:22.045629,10/Aug/2026:11:55:22.832338,0.7867
1,15,123,success,None,10/Aug/2026:11:55:22.833041,10/Aug/2026:11:55:23.648737,0.8157
1,15,142,success,None,10/Aug/2026:11:55:23.649451,10/Aug/2026:11:55:24.314729,0.6653
1,15,161,success,None,10/Aug/2026:11:55:24.315437,10/Aug/2026:11:55:25.290364,0.9749
1,15,185,success,None,10/Aug/2026:11:55:25.291069,10/Aug/2026:11:55:26.044795,0.7537
1,15,204,success,None,10/Aug/2026:11:55:26.045516,10/Aug/2026:11:55:26.911381,0.8659
1,15,219,success,None,10/Aug/2026:11:55:26.912109,10/Aug/2026:11:55:27.702228,0.7901
1,15,234,success,None,10/Aug/2026:11:55:27.703202,10/Aug/2026:11:55:28.500373,0.7972
1,15,249,success,None,10/Aug/2026:11:55:28.501083,10/Aug/2026:11:55:29.504436,1.0033
1,15,268,success,None,10/Aug/2026:11:55:29.505152,10/Aug/2026:11:55:30.445416,0.9403
1,15,286,success,None,10/Aug/2026:11:55:30.446151,10/Aug/2026:11:55:31.305200,0.8590
1,15,301,success,None,10/Aug/2026:11:55:31.305942,10/Aug/2026:11:55:32.062062,0.7561
1,15,322,success,None,10/Aug/2026:11:55:32.062795,10/Aug/2026:11:55:32.940814,0.8780
1,15,339,success,None,10/Aug/2026:11:55:32.941535,10/Aug/2026:11:55:33.719887,0.7783
