maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency
1,5,3,success,None,10/Aug/2026:11:57:36.741798,10/Aug/2026:11:57:37.010982,0.2692
1,5,23,success,None,10/Aug/2026:11:57:37.011022,10/Aug/2026:11:57:37.130563,0.1195
1,5,57,success,None,10/Aug/2026:11:57:37.130586,10/Aug/2026:11:57:37.260628,0.1300
1,5,64,success,None,10/Aug/2026:11:57:37.260655,10/Aug/2026:11:57:37.404205,0.1435
1,5,73,success,None,10/Aug/2026:11:57:37.404240,10/Aug/2026:11:57:37.553050,0.1488
1,5,94,success,None,10/Aug/2026:11:57:37.553070,10/Aug/2026:11:57:37.692789,0.1397
1,5,116,success,None,10/Aug/2026:11:57:37.692825,10/Aug/2026:11:57:37.826662,0.1338
1,5,128,success,None,10/Aug/2026:11:57:37.826692,10/Aug/2026:11:57:37.966595,0.1399
1,5,148,success,None,10/Aug/2026:11:57:37.966634,10/Aug/2026:11:57:38.117738,0.1511
1,5,161,success,None,10/Aug/2026:11:57:38.117767,10/Aug/2026:11:57:38.267700,0.1499
1,5,166,success,None,10/Aug/2026:11:57:38.267726,10/Aug/2026:11:57:38.433642,0.1659
1,5,172,success,None,10/Aug/2026:11:57:38.433677,10/Aug/2026:11:57:38.604901,0.1712
1,5,200,success,None,10/Aug/2026:11:57:38.604943,10/Aug/2026:11:57:38.774647,0.1697
1,5,216,success,None,10/Aug/2026:11:57:38.774678,10/Aug/2026:11:57:38.933243,0.1586
1,5,275,success,None,10/Aug/2026:11:57:38.933275,10/Aug/2026:11:57:39.104637,0.1714
1,5,309,success,None,10/Aug/2026:11:57:39.104671,10/Aug/2026:11:57:39.271758,0.1671
1,5,316,success,None,10/Aug/2026:11:57:39.271797,10/Aug/2026:11:57:39.450628,0.1788
1,5,321,success,None,10/Aug/2026:11:57:39.450665,10/Aug/2026:11:57:39.600699,0.1500
1,5,328,success,None,10/Aug/2026:11:57:39.600724,10/Aug/2026:11:57:39.753545,0.1528
1,5,343,success,None,10/Aug/2026:11:57:39.753569,10/Aug/2026:11:57:39.896128,0.1426
1,10,7,success,None,10/Aug/2026:11:57:39.907915,10/Aug/2026:11:57:40.220234,0.3123
1,10,24,success,None,10/Aug/2026:11:57:40.220389,10/Aug/2026:11:57:40.513267,0.2929
1,10,39,success,None,10/Aug/2026:11:57:40.513474,10/Aug/2026:11:57:40.940235,0.4268
1,10,50,success,None,10/Aug/2026:11:57:40.940459,10/Aug/2026:11:57:41.351117,0.4107
1,10,65,success,None,10/Aug/2026:11:57:41.351334,10/Aug/2026:11:57:41.801626,0.4503
1,10,85,success,None,10/Aug/2026:11:57:41.801850,10/Aug/2026:11:57:42.314391,0.5125
1,10,112,success,None,10/Aug/2026:11:57:42.314668,10/Aug/2026:11:57:42.733898,0.4192
1,10,134,success,None,10/Aug/2026:11:57:42.734111,10/Aug/2026:11:57:43.081078,0.3470
1,10,147,success,None,10/Aug/2026:11:57:43.081291,10/Aug/2026:11:57:43.502415,0.4211
1,10,159,success,None,10/Aug/2026:11:57:43.502652,10/Aug/2026:11:57:43.855013,0.3524
1,10,174,success,None,10/Aug/2026:11:57:43.855224,10/Aug/2026:11:57:44.184302,0.3291
1,10,186,success,None,10/Aug/2026:11:57:44.184510,10/Aug/2026:11:57:44.482407,0.2979
1,10,198,success,None,10/Aug/2026:11:57:44.482665,10/Aug/2026:11:57:44.745072,0.2624
1,10,216,success,None,10/Aug/2026:11:57:44.745562,10/Aug/2026:11:57:45.118156,0.3726
1,10,248,success,None,10/Aug/2026:11:57:45.118380,10/Aug/2026:11:57:45.443874,0.3255
1,10,268,success,None,10/Aug/2026:11:57:45.444070,10/Aug/2026:11:57:45.734529,0.2905
1,10,285,success,None,10/Aug/2026:11:57:45.734739,10/Aug/2026:11:57:46.025273,0.2905
1,10,312,success,None,10/Aug/2026:11:57:46.025483,10/Aug/2026:11:57:46.316755,0.2913
1,10,347,success,None,10/Aug/2026:11:57:46.316962,10/Aug/2026:11:57:46.636405,0.3194
1,10,358,success,None,10/Aug/2026:11:57:46.636611,10/Aug/2026:11:57:46.960996,0.3244
1,15,0,success,None,10/Aug/2026:11:57:46.962148,10/Aug/2026:11:57:47.290982,0.3288
1,15,15,success,None,10/Aug/2026:11:57:47.291219,10/Aug/2026:11:57:47.651455,0.3602
1,15,32,success,None,10/Aug/2026:11:57:47.651743,10/Aug/2026:11:57:47.984679,0.3329
1,15,49,success,None,10/Aug/2026:11:57:47.984986,10/Aug/2026:11:57:48.295450,0.3105
1,15,72,success,None,10/Aug/2026:11:57:48.295729,10/Aug/2026:11:57:48.590743,0.2950
1,15,93,success,None,10/Aug/2026:11:57:48.591029,10/Aug/2026:11:57:48.873860,0.2828
1,15,110,success,None,10/Aug/2026:11:57:48.874160,10/Aug/2026:11:57:49.237343,0.3632
1,15,128,success,None,10/Aug/2026:11:57:49.237643,10/Aug/2026:11:57:49.658582,0.4209
1,15,144,success,None,10/Aug/2026:11:57:49.658907,10/Aug/2026:11:57:50.112632,0.4537
